SongID,ArtistID,AlbumID,SongTitle,ReleaseYear,PopularityScore
1,155,520,Song_1,1995,88
2,921,1990,Song_2,1995,56
3,123,729,Song_3,2024,64
4,545,2116,Song_4,2024,55
5,394,719,Song_5,2014,53
6,700,956,Song_6,1993,69
7,861,531,Song_7,2021,64
8,950,1200,Song_8,1997,93
9,966,596,Song_9,2006,83
10,422,382,Song_10,2022,79
11,511,1405,Song_11,2020,99
12,638,1297,Song_12,2003,59
13,972,825,Song_13,1984,91
14,955,1696,Song_14,2019,62
15,812,2072,Song_15,1989,68
16,743,1686,Song_16,1999,71
17,718,1678,Song_17,2023,90
18,1000,1225,Song_18,1992,65
19,635,252,Song_19,1996,81
20,476,1249,Song_20,2014,80
21,690,1995,Song_21,2010,71
22,484,1958,Song_22,1999,93
23,478,944,Song_23,1991,84
24,404,419,Song_24,2000,57
25,620,1920,Song_25,1988,65
26,579,1926,Song_26,1985,68
27,275,1185,Song_27,2002,93
28,981,1754,Song_28,1992,96
29,518,1039,Song_29,1994,95
30,358,284,Song_30,1993,77
31,703,957,Song_31,1980,80
32,429,1747,Song_32,1993,97
33,840,426,Song_33,1991,92
34,833,1412,Song_34,2019,60
35,333,690,Song_35,2004,60
36,1094,1568,Song_36,2004,85
37,359,1823,Song_37,1984,94
38,491,1429,Song_38,2002,91
39,513,1626,Song_39,1986,83
40,241,2080,Song_40,1986,99
41,223,1473,Song_41,2011,74
42,304,781,Song_42,1984,59
43,260,638,Song_43,1999,93
44,875,1556,Song_44,1982,93
45,916,1800,Song_45,1982,97
46,336,1321,Song_46,1991,91
47,263,1509,Song_47,2000,64
48,927,1700,Song_48,1996,50
49,437,1059,Song_49,1983,69
50,864,986,,1999,52
51,436,392,Song_51,2023,62
52,133,1129,Song_52,2012,71
53,1038,1125,Song_53,1989,72
54,438,883,Song_54,2000,86
55,1100,1764,Song_55,1983,77
56,399,1552,Song_56,2011,61
57,258,1579,Song_57,1989,91
58,975,630,Song_58,2013,65
59,530,1686,Song_59,1995,97
60,660,718,Song_60,1993,82
61,653,909,Song_61,2018,90
62,975,1284,Song_62,1988,80
63,1031,1322,Song_63,2004,93
64,435,235,Song_64,1986,84
65,1094,1209,Song_65,1984,98
66,118,1894,Song_66,1980,69
67,818,2168,Song_67,2004,87
68,667,1594,Song_68,2014,98
69,426,431,Song_69,1992,52
70,519,1805,Song_70,2014,82
71,968,514,Song_71,1985,71
72,467,1848,Song_72,1996,60
73,550,600,Song_73,2013,79
74,494,1710,Song_74,2024,68
75,980,2000,Song_75,2007,79
76,754,922,Song_76,1998,81
77,618,1395,Song_77,2021,69
78,573,1738,Song_78,2005,68
79,435,640,Song_79,1989,53
80,718,1611,Song_80,2000,78
81,169,1359,Song_81,2009,82
82,298,1938,Song_82,1991,62
83,653,1582,Song_83,1986,99
84,798,2009,Song_84,2021,89
85,291,372,Song_85,1998,99
86,128,712,,1998,59
87,114,1238,Song_87,1987,80
88,330,639,Song_88,2002,80
89,897,1854,Song_89,2021,68
90,424,2057,Song_90,1997,95
91,210,1086,Song_91,1989,54
92,1057,2042,Song_92,2013,91
93,446,506,Song_93,2002,57
94,397,526,Song_94,2005,83
95,306,808,,2016,50
96,392,1279,Song_96,1985,82
97,311,940,Song_97,2018,84
98,363,936,Song_98,1994,82
99,435,307,Song_99,1982,76
100,401,1517,Song_100,1997,84
101,367,310,Song_101,1992,91
102,884,309,Song_102,2015,73
103,179,1334,Song_103,2004,51
104,709,1795,Song_104,1987,62
105,254,1029,Song_105,2024,97
106,1083,2175,Song_106,1993,64
107,801,1955,Song_107,2022,88
108,639,807,Song_108,2014,90
109,848,252,Song_109,1990,78
110,580,502,Song_110,1997,63
111,843,2010,Song_111,2018,52
112,439,1176,Song_112,2019,70
113,446,1611,Song_113,2001,88
114,109,1167,Song_114,2012,82
115,517,1886,Song_115,1985,84
116,239,761,Song_116,1989,76
117,728,1671,Song_117,2011,58
118,934,1217,Song_118,2004,94
119,595,1119,Song_119,1981,86
120,401,1714,Song_120,2008,76
121,449,1901,Song_121,2007,78
122,883,519,Song_122,1988,52
123,315,2183,Song_123,2011,88
124,770,2088,Song_124,1990,65
125,700,1353,Song_125,2005,84
126,1045,1500,Song_126,2011,88
127,262,658,Song_127,1993,97
128,1017,1579,Song_128,1999,90
129,955,1269,Song_129,1987,98
130,807,1707,Song_130,1999,87
131,391,1466,Song_131,1990,65
132,769,2051,Song_132,1994,91
133,851,410,Song_133,2010,56
134,403,1492,Song_134,2000,77
135,965,1270,Song_135,1980,72
136,495,1438,Song_136,2022,56
137,899,924,Song_137,1985,99
138,804,1803,Song_138,1987,74
139,740,1813,Song_139,2019,74
140,618,476,Song_140,1997,73
141,360,438,Song_141,1996,94
142,1092,2158,Song_142,2009,82
143,658,1520,Song_143,1990,91
144,976,1742,Song_144,1989,53
145,994,1215,Song_145,2019,71
146,871,612,Song_146,2000,78
147,695,1986,Song_147,2005,60
148,153,1581,Song_148,2020,59
149,580,1085,Song_149,1996,56
150,1062,2005,Song_150,2005,89
151,1044,1742,Song_151,1989,95
152,121,1881,Song_152,2012,61
153,820,1948,Song_153,1985,76
154,317,1077,Song_154,2012,77
155,630,717,Song_155,2015,73
156,960,343,Song_156,1982,98
157,439,1273,Song_157,2003,63
158,1042,527,Song_158,1983,74
159,953,1599,Song_159,1991,79
160,106,1466,Song_160,1986,70
161,591,2046,Song_161,2016,74
162,345,906,Song_162,2008,53
163,614,1375,Song_163,2022,53
164,1063,481,Song_164,2018,97
165,726,1254,Song_165,2009,69
166,177,1068,Song_166,2003,56
167,944,541,Song_167,1984,55
168,828,1492,Song_168,2001,59
169,909,447,Song_169,2020,85
170,149,1886,Song_170,2016,84
171,146,372,Song_171,1989,65
172,797,289,Song_172,1982,51
173,956,1263,Song_173,2007,78
174,121,1223,Song_174,1992,90
175,1093,1316,Song_175,2013,69
176,494,653,Song_176,1988,64
177,661,1483,Song_177,2009,92
178,558,787,Song_178,2018,65
179,1023,1762,Song_179,2019,56
180,431,685,Song_180,1981,91
181,312,2086,Song_181,2023,69
182,682,910,Song_182,1982,76
183,1073,1108,Song_183,2006,90
184,594,1120,Song_184,1994,96
185,252,1309,Song_185,2008,52
186,754,2023,Song_186,1986,85
187,996,942,Song_187,1981,61
188,122,954,Song_188,2011,84
189,452,627,Song_189,1985,52
190,1079,1339,Song_190,2022,90
191,914,976,Song_191,2003,56
192,430,336,Song_192,1988,97
193,785,880,Song_193,1993,74
194,322,1930,Song_194,2022,87
195,717,1124,Song_195,2001,89
196,367,2165,Song_196,1996,67
197,633,601,Song_197,2008,83
198,863,812,Song_198,2014,67
199,815,1116,Song_199,2015,98
200,526,506,Song_200,1982,99
201,547,2167,Song_201,2016,97
202,409,2128,Song_202,2009,55
203,392,861,Song_203,1997,69
204,319,1697,Song_204,2012,62
205,660,2199,Song_205,2001,58
206,1023,1047,Song_206,2024,76
207,866,954,Song_207,1980,87
208,434,2111,Song_208,2013,88
209,469,1110,Song_209,2015,65
210,905,1276,Song_210,2022,70
211,295,1421,Song_211,1993,60
212,555,987,Song_212,1995,93
213,456,1501,Song_213,2010,74
214,298,375,Song_214,2022,75
215,1023,690,Song_215,2004,96
216,698,1759,Song_216,2018,62
217,859,419,Song_217,2005,95
218,394,277,Song_218,2023,92
219,788,2047,Song_219,1999,79
220,701,1970,Song_220,2007,97
221,236,308,Song_221,1994,65
222,232,1754,Song_222,2007,97
223,581,1900,Song_223,1982,72
224,403,483,Song_224,1987,88
225,869,1418,Song_225,1996,97
226,114,1239,Song_226,1980,81
